source_kp_id,knowledge_node_id,label,label_enums,description
KP_GLOBAL_0001,a1b2c3d4-0001-4000-8000-000000000001,for loop iteration patterns,FOR_LOOP_ITERATION_PATTERNS,"Mastery involves using `for` loops to iterate over sequences (lists, strings, ranges) and applying common patterns such as counting, accumulating, or transforming each element in the collection."
KP_GLOBAL_0002,a1b2c3d4-0001-4000-8000-000000000002,while loop and condition-based iteration,WHILE_LOOP_AND_CONDITION_BASED_ITERATION,"Mastery involves using `while` loops to repeat a block of code as long as a condition remains `True`, including correctly initializing, updating, and terminating the loop variable to avoid infinite loops."
KP_GLOBAL_0003,a1b2c3d4-0001-4000-8000-000000000003,conditional logic in python,CONDITIONAL_LOGIC_IN_PYTHON,"Mastery involves using `if`, `elif`, and `else` statements to control program flow based on evaluated conditions, including constructing compound conditions with logical and comparison operators."
KP_GLOBAL_0004,a1b2c3d4-0001-4000-8000-000000000004,implicit type compatibility,IMPLICIT_TYPE_COMPATIBILITY,"Mastery involves understanding when Python automatically handles operations between compatible types (e.g., `int` and `float` in arithmetic) and recognizing when implicit coercion does not apply, such as mixing `str` and `int`."
KP_GLOBAL_0005,a1b2c3d4-0001-4000-8000-000000000005,string indexing and slicing,STRING_INDEXING_AND_SLICING,"Mastery involves accessing individual characters using 0-based indexing (e.g., `s[0]`) and extracting substrings using slice notation (e.g., `s[start:end]`), including negative indices and omitted bounds."
KP_GLOBAL_0006,a1b2c3d4-0001-4000-8000-000000000006,string operations in python,STRING_OPERATIONS_IN_PYTHON,"Mastery involves applying common string operations including concatenation (`+`), repetition (`*`), length retrieval (`len()`), and membership testing (`in`), as well as built-in methods like `upper()`, `lower()`, `strip()`, and `replace()`."
KP_GLOBAL_0007,a1b2c3d4-0001-4000-8000-000000000007,input handling in python,INPUT_HANDLING_IN_PYTHON,Mastery involves using `input()` to read user input as a string and applying type conversion functions like `int()` or `float()` to transform the input into the appropriate data type for further processing.
KP_GLOBAL_0008,a1b2c3d4-0001-4000-8000-000000000008,variable assignment in python,VARIABLE_ASSIGNMENT_IN_PYTHON,"Mastery involves using the `=` operator to bind values to named variables, including reassigning variables, performing multiple assignment, and understanding that variable names reference objects in memory."
KP_GLOBAL_0009,a1b2c3d4-0001-4000-8000-000000000009,syntax error handling,SYNTAX_ERROR_HANDLING,"Mastery involves identifying and correcting common Python syntax errors such as missing colons, incorrect indentation, mismatched parentheses, and misspelled keywords that prevent the program from running."
KP_GLOBAL_0010,a1b2c3d4-0001-4000-8000-000000000010,output formatting in python,OUTPUT_FORMATTING_IN_PYTHON,"Mastery involves producing formatted output using f-strings (e.g., `f'{value:.2f}'`), the `.format()` method, and `print()` with `sep` and `end` parameters to control the display of values with desired precision, alignment, or separators."
KP_GLOBAL_0012,a1b2c3d4-0001-4000-8000-000000000012,type conversion in python,TYPE_CONVERSION_IN_PYTHON,"Mastery involves explicitly converting values between data types using built-in functions such as `int()`, `float()`, `str()`, and `bool()`, and understanding when and why such conversions are necessary."
KP_GLOBAL_0013,a1b2c3d4-0001-4000-8000-000000000013,arithmetic calculations in python,ARITHMETIC_CALCULATIONS_IN_PYTHON,"Mastery involves using Python's arithmetic operators (`+`, `-`, `*`, `/`, `//`, `%`, `**`) to perform calculations on numeric values, and understanding operator precedence when combining multiple operations in an expression."
KP_GLOBAL_0014,a1b2c3d4-0001-4000-8000-000000000014,list creation and updates,LIST_CREATION_AND_UPDATES,"Mastery involves creating lists using literals or `list()`, and modifying them using methods such as `append()`, `insert()`, `extend()`, `remove()`, and `pop()` to add, update, or delete elements."
KP_GLOBAL_0015,a1b2c3d4-0001-4000-8000-000000000015,list indexing and slicing,LIST_INDEXING_AND_SLICING,"Mastery involves accessing individual list elements by their index (e.g., `lst[0]`, `lst[-1]`) and extracting sublists using slice notation (e.g., `lst[start:end:step]`), including the use of negative indices."
KP_GLOBAL_0016,a1b2c3d4-0001-4000-8000-000000000016,nested loops in python,NESTED_LOOPS_IN_PYTHON,"Mastery involves placing one `for` or `while` loop inside another to iterate over multi-dimensional structures such as grids or matrices, and coordinating the inner and outer loop variables to achieve the desired traversal pattern."
KP_GLOBAL_0017,a1b2c3d4-0001-4000-8000-000000000017,logical error identification,LOGICAL_ERROR_IDENTIFICATION,"Mastery involves reading and tracing code to detect logical errors — bugs where the program runs without crashing but produces incorrect results — by comparing expected vs. actual output and identifying the flawed condition, operator, or algorithm."
KP_GLOBAL_0018,a1b2c3d4-0001-4000-8000-000000000018,recursion and call stack,RECURSION_AND_CALL_STACK,"Mastery involves writing recursive functions that include a clear base case to stop recursion and a recursive step that reduces the problem, while understanding how each function call is pushed onto and popped from the call stack."
KP_GLOBAL_0019,a1b2c3d4-0001-4000-8000-000000000019,code reading and tracing,CODE_READING_AND_TRACING,"Mastery involves manually stepping through Python code line by line, tracking variable values at each step, and predicting the output of a program without executing it, including tracing through loops and function calls."
